context,sq,spit,depth,z,q_a,q_b,q_c,q_d,complete,n_afts,n_<15,n_cores,calcrete,1mm,bone,description,,,,,aft_density,15 rat,change,,a,b,c,d,,,,calc_3mm,calc_1mm,charcoal,,,,,,
12,2,8,0.35,100.04,1,1,1,1,1,175,238,17,,,,"Sediment generally soft, but calacareous and hard in a few places. Artefact and unworked cobble/manuport numbers seem to be dropping. Fewer observed artefacts bedded at angles than in previous contexts. Active ants in quads A and B.",great cores in here and as many as four hammerstones - all sandstone,,,,413,1.4,1,,,10,32,63,,,,737.3,596.4,,,,,,,
14,2,9,0.4,99.99,1,1,1,1,1,155,247,20,,,,"Bucket heights for A, B and D incomplete.",intrested retouch flake in here - could have been prox of ufp,,,,402,1.6,1,,26,36,30,52,,,,1666,286.5,,,,,,,
16,2,10,0.45,99.94,1,1,1,1,1,156,185,20,,,1,"Artefact numbers appear to be increasing, notably in quad c, Artefacts still bedded at angles, but artefacts appear to be bedded at similar angle, although not flat.",,,,,341,1.2,2,,,5,,21,,,,,,,,,,,,
18,2,11,0.5,99.89,1,1,1,1,1,82,137,7,,,,"Artefact numbers remain high relative to square 1, no concentrations, a few small cores, but largely flakes of the 3-4x2cm variety. Artefacts are bedded at an angle.","decaying sand rounded cobble, large qtzt flake with no cortex, flat lev core (single platofrm)",,,,219,1.7,1,,0,0,23,8,,,,,,,,,,,,
20,2,12,0.55,99.84,1,1,1,1,1,79,86,3,,,,"artefact numbers appear to be dropping off, no concentrations. deposit has become very moist, but soft.artefacts bedded angles.",,,,,165,1.1,2,,21,8,22,5,,,,,,,,,,,,
22,2,13,0.6,99.79,1,1,1,1,1,48,55,2,,,,"Deposit has become very soft,but moist. artefact numbers seem to be holding, but still bedded at angles.No concentrations found.",lovely ccs radial core,,,,103,1.1,1,,9,15,15,0,,,,1632.2,1444.1,,,,1172.1,1036.8,1665.6,543.3
24,2,14,0.65,99.74,1,1,1,1,1,34,80,2,,,1,"Artefact numbers have remained constant, but there appears to be an increase in the number of quartzite artefacts.Hornfels and silcrete flakes appear to be decreasing in frequency. Sediment has become very calcareous and hard.",great big lev flake in D along with core and hammer,,,,114,2.4,2,,8,34,15,21,,,,2671.3+209.6,1283+730.6,,,,,,,
26,2,15,0.7,99.69,1,1,1,1,1,38,35,2,,,,"Context has become very calcareous in quads b and c, artefact numbers have not declined from the previous context. artefacts bedded at angles.",,,,,73,0.9,2,,0,,28,10,,,,844.2,812.1,,,,,,,
28,2,16,0.75,99.64,1,1,1,1,1,17,24,2,,,,"artefact numbers appear to have declined slightly, no visible concentrations, but artefacts are being bedded horizontally more frequently. Sediment has become less compact.",nice radial hrnf core and small bg chert pebble core too,,,,41,1.4,1,,0,0,24,6,,,,268.6,749.6,,,,,,,
30,2,17,0.8,99.59,1,1,,1,0.75,10,20,0,,,"1,f","artefact numbers have declined. some bedded at angles, whilst others appear to be bedded flat. Calcareous material has declined.",,,,,40,2.0,2,,,14,0,6,,,,,,,,,,,,
32,2,18,0.85,99.54,1,1,1,1,1,11,14,1,,,"1,f,m","context has become softer, noticable decrease in calcareous materials, artefact bedded at angles, but sparsely distributed.",,,,,25,1.3,1,,0,8,0,7,,,,,,,,,,,,
34,2,19,0.9,99.49,1,1,1,1,1,5,17,0,,,"1,f",,,,,,22,3.4,1,,9,8,6,5,,,,,,,,,,,,
36,2,20,0.95,99.44,1,1,1,1,1,5,11,0,,,m,artefacts bedded at angles.,nice lev flake,,,,16,2.2,1,,10,10,7,3,,,,321.8,382.8,,,,,,,
38,2,21,1,99.39,1,1,1,1,1,5,15,0,,,"1,f","Sediments considerably softer and less blocky than at this depth in Sq 1. Some evidence of burrow fills, but not abundant. A few artefacts.",,,,,20,3.0,1,,1,0,0,8,,,,,,,,,,,,
40,2,22,1.05,99.34,1,1,1,1,1,4,17,0,,,"1,f","Sediments moderately moist + difficult to sieve, also, looser than overlying context and fewer calacareous inclusions. Observed artefact count at 4-5 per quad.",,,,,21,4.3,3,,0,0,1,3,,,,,,,,,,,,
42,2,23,1.1,99.29,1,1,1,1,1,2,6,0,,,f,Sediments looser than overlying context and still moist. Very little of the pedal like sediment or rysolith like calcareous nodules in square one. Very few artefacts.,,,,,8,3.0,1,,2,6,0,4,,,,343.9,461,,,,,,,
44,2,24,1.15,99.24,1,1,1,1,1,2,12,0,,,f,"sediment has become soft in eastern half and moderatly more compacted to the west of quads A+D, Artefacts still bedded at angles, although there are some bedded horizontally. No pedal development.",,,,,14,6.0,1,,4,3,0,8,,,,1124+153+466,411+164+562,,,,,,,
46,2,25,1.2,99.19,1,1,1,1,1,7,12,0,,,,,,,,,19,1.7,1,,3,6,6,0,,,,695+63,1865+46,,,,,,,
48,2,26,1.25,99.14,1,1,1,1,1,11,17,0,,,,"Quads A and D becoming harder but C and B still soft.Artefact numbers have remained constant, with an increase in quartzite artefacts.",,,,,28,1.5,#DIV/0!,,5,0,9,2,,,,551+223+1031,1021+503+869,,,,,,,
,,,,,,,,,0.982758621,2876,3802,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,6795.157895,6678,250.3157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,99.14,99.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,99.09,99.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
